Ride_ID,Fare,Distance_Miles,Ride_Request_Time,Pickup_Time,Dropoff_Time,Source_Zone,Destination_Zone,Driver_Rating_by_Customer,Ride_Status,Cancelled_By,Driver_ID,Customer_ID
1001,25.83,10.02,2023-02-03 07:56:05,2023-02-03 07:59:05,2023-02-03 09:28:05,Upper East Side (Manhattan),Williamsburg (Brooklyn),3,Completed,,DRV_222716,CUST_C36E00B
1002,5.0,0.88,2023-02-24 09:48:03,2023-02-24 09:55:03,2023-02-24 10:14:03,Staten Island (Residential),Newark Liberty Airport (EWR),4,Completed,,DRV_4E2592,CUST_97FDDBE
1003,19.55,6.35,2023-03-08 11:55:11,2023-03-08 12:10:11,2023-03-08 12:47:11,Harlem (Manhattan),LaGuardia Airport (LGA),5,Completed,,DRV_6E4B91,CUST_EA0003D
1004,24.06,4.5,2023-01-21 16:49:34,2023-01-21 17:03:34,2023-01-21 17:27:34,Harlem (Manhattan),SoHo,5,Completed,,DRV_6BE175,CUST_CB7CE22
1005,24.14,11.47,2023-03-07 10:01:34,2023-03-07 10:10:34,2023-03-07 10:44:34,Financial District,Bay Ridge (Brooklyn),4,Completed,,DRV_AAA10B,CUST_1403824
1006,23.11,10.93,2023-01-05 17:58:34,2023-01-05 18:13:34,2023-01-05 19:19:34,Staten Island (Residential),Harlem (Manhattan),5,Completed,,DRV_B49E41,CUST_7C1560D
1007,9.94,2.9,2023-01-31 10:24:28,2023-01-31 10:31:28,2023-01-31 11:02:28,Williamsburg (Brooklyn),Financial District,5,Completed,,DRV_19BB1D,CUST_1C89744
1008,28.18,9.89,2023-02-06 00:36:12,2023-02-06 00:47:12,2023-02-06 01:37:12,Forest Hills (Queens),Riverdale (Bronx),4,Completed,,DRV_14E916,CUST_F7B93B8
1009,25.5,11.56,2023-02-20 20:21:31,2023-02-20 20:31:31,2023-02-20 21:22:31,Flushing (Queens),Park Slope (Brooklyn),4,Completed,,DRV_B49E41,CUST_2E82F9F
1010,71.69,34.46,2023-03-10 23:37:15,2023-03-10 23:43:15,2023-03-11 01:59:15,Harlem (Manhattan),Flushing (Queens),3,Completed,,DRV_30C2EE,CUST_BA7E258
1011,5.34,1.59,2023-02-03 13:36:49,2023-02-03 13:44:49,2023-02-03 13:56:49,SoHo,Forest Hills (Queens),4,Completed,,DRV_E48B72,CUST_E5BCAE8
1012,8.39,2.51,2023-01-15 04:37:54,2023-01-15 04:49:54,2023-01-15 05:14:54,Park Slope (Brooklyn),LaGuardia Airport (LGA),5,Completed,,DRV_E48B72,CUST_4627D8A
1013,29.67,8.76,2023-03-25 02:14:44,2023-03-25 02:17:44,2023-03-25 02:50:44,Bay Ridge (Brooklyn),LaGuardia Airport (LGA),5,Completed,,DRV_5C2840,CUST_3E4517C
1014,34.94,15.27,2023-03-31 19:17:59,2023-03-31 19:29:59,2023-03-31 21:27:59,Flushing (Queens),The Bronx (Residential),2,Completed,,DRV_6D8CCF,CUST_036597B
1015,7.32,1.67,2023-01-22 11:13:10,2023-01-22 11:16:10,2023-01-22 11:25:10,Riverdale (Bronx),Park Slope (Brooklyn),4,Completed,,DRV_8AF1C8,CUST_6FEE162
1016,21.32,9.29,2023-02-11 15:03:42,2023-02-11 15:17:42,2023-02-11 16:01:42,SoHo,Harlem (Manhattan),3,Completed,,DRV_432DAB,CUST_23C55B1
1017,7.09,0.99,2023-01-13 04:32:43,2023-01-13 04:43:43,2023-01-13 05:04:43,Greenwich Village,Forest Hills (Queens),4,Completed,,DRV_6D8CCF,CUST_3CC282C
1018,17.22,6.25,2023-02-04 10:58:46,2023-02-04 11:02:46,2023-02-04 12:05:46,Midtown Manhattan,JFK Airport,4,Completed,,DRV_AC111F,CUST_D7644C5
1019,64.42,23.34,2023-01-18 21:36:44,2023-01-18 21:37:44,2023-01-18 22:37:44,Bay Ridge (Brooklyn),Financial District,4,Completed,,DRV_6FF7F4,CUST_810B628
1020,29.2,11.74,2023-01-24 18:01:51,2023-01-24 18:06:51,2023-01-24 18:34:51,The Bronx (Residential),Staten Island (Residential),5,Completed,,DRV_E94A8F,CUST_7815460
1021,12.66,3.82,2023-01-03 12:59:53,2023-01-03 13:04:53,2023-01-03 13:25:53,Staten Island (Residential),Park Slope (Brooklyn),4,Completed,,DRV_14815F,CUST_6A96D7C
1022,21.19,10.92,2023-03-02 18:56:25,2023-03-02 19:10:25,2023-03-02 20:21:25,Staten Island (Residential),Forest Hills (Queens),5,Completed,,DRV_833FF1,CUST_863D414
1023,10.05,2.3,2023-02-16 16:41:55,2023-02-16 16:44:55,2023-02-16 17:06:55,JFK Airport,Riverdale (Bronx),4,Cancelled_by_Customer,Customer,DRV_DEFABE,CUST_2C9B534
1024,17.47,5.04,2023-01-20 01:43:26,2023-01-20 01:51:26,2023-01-20 02:23:26,Flushing (Queens),Harlem (Manhattan),3,Completed,,DRV_5C48C7,CUST_A177ED2
1025,24.93,9.42,2023-03-21 00:16:01,2023-03-21 00:24:01,2023-03-21 01:38:01,JFK Airport,Financial District,3,Completed,,DRV_BC8E91,CUST_84BD38F
1026,11.84,5.61,2023-03-29 13:54:12,2023-03-29 13:55:12,2023-03-29 14:38:12,SoHo,JFK Airport,4,Completed,,DRV_207577,CUST_CBEBF94
1027,10.03,3.33,2023-01-26 14:49:44,2023-01-26 14:53:44,2023-01-26 15:11:44,Forest Hills (Queens),Bay Ridge (Brooklyn),4,Completed,,DRV_4E2592,CUST_738136C
1028,27.01,8.07,2023-01-06 03:45:32,2023-01-06 04:00:32,2023-01-06 04:39:32,Flushing (Queens),Bay Ridge (Brooklyn),4,Completed,,DRV_3B2FA8,CUST_4D5C8B1
1029,39.78,21.68,2023-01-27 12:35:56,2023-01-27 12:43:56,2023-01-27 14:00:56,Midtown Manhattan,Harlem (Manhattan),5,Completed,,DRV_14E916,CUST_7F77966
1030,64.94,30.6,2023-01-03 07:07:53,2023-01-03 07:14:53,2023-01-03 08:30:53,The Bronx (Residential),Bay Ridge (Brooklyn),5,Completed,,DRV_E94A8F,CUST_9F0E915
1031,21.57,5.62,2023-02-10 07:40:17,2023-02-10 07:55:17,2023-02-10 08:37:17,Flushing (Queens),Park Slope (Brooklyn),4,Completed,,DRV_0609EC,CUST_47BD335
1032,30.75,8.98,2023-03-18 09:43:11,2023-03-18 09:52:11,2023-03-18 10:22:11,Williamsburg (Brooklyn),Forest Hills (Queens),4,Completed,,DRV_C7E479,CUST_65C1ADD
1033,7.96,3.05,2023-03-11 11:37:36,2023-03-11 11:50:36,2023-03-11 12:02:36,Williamsburg (Brooklyn),Financial District,4,Completed,,DRV_CD33D0,CUST_1D903CA
1034,19.83,8.01,2023-03-06 02:48:46,2023-03-06 02:57:46,2023-03-06 03:41:46,Staten Island (Residential),Forest Hills (Queens),5,Completed,,DRV_5C2840,CUST_17D4BD4
1035,6.49,0.59,2023-01-04 20:53:52,2023-01-04 20:57:52,2023-01-04 21:05:52,Williamsburg (Brooklyn),SoHo,4,Completed,,DRV_102F63,CUST_6CE0D6C
1036,27.0,9.31,2023-01-19 06:30:41,2023-01-19 06:40:41,2023-01-19 07:30:41,Park Slope (Brooklyn),SoHo,4,Completed,,DRV_78DFAF,CUST_4571C20
1037,28.26,10.79,2023-02-10 12:57:11,2023-02-10 12:59:11,2023-02-10 14:05:11,Riverdale (Bronx),Harlem (Manhattan),3,Completed,,DRV_2E667E,CUST_442031C
1038,7.89,1.83,2023-03-11 03:16:21,2023-03-11 03:25:21,2023-03-11 03:46:21,Financial District,SoHo,5,Completed,,DRV_B8F151,CUST_AFFF05F
1039,5.9,0.66,2023-02-01 08:56:02,2023-02-01 08:59:02,2023-02-01 09:08:02,Newark Liberty Airport (EWR),Flushing (Queens),4,Completed,,DRV_3EC07F,CUST_8DBCC4E
1040,19.15,10.01,2023-01-29 02:09:41,2023-01-29 02:15:41,2023-01-29 03:25:41,Harlem (Manhattan),The Bronx (Residential),3,Completed,,DRV_1F88B9,CUST_096DFA7
1041,17.23,6.23,2023-03-03 06:25:51,2023-03-03 06:29:51,2023-03-03 06:56:51,Newark Liberty Airport (EWR),Midtown Manhattan,4,Completed,,DRV_99E5E1,CUST_0A91AC9
1042,87.51,31.43,2023-02-11 22:10:02,2023-02-11 22:19:02,2023-02-12 00:11:02,JFK Airport,Newark Liberty Airport (EWR),3,Completed,,DRV_D9F45F,CUST_43A27C9
1043,8.17,1.86,2023-02-18 10:04:33,2023-02-18 10:12:33,2023-02-18 10:20:33,Bay Ridge (Brooklyn),Flushing (Queens),4,Completed,,DRV_291A0B,CUST_DC0A85B
1044,7.6,2.22,2023-02-03 22:09:28,2023-02-03 22:11:28,2023-02-03 22:27:28,Staten Island (Residential),Harlem (Manhattan),5,Completed,,DRV_E04424,CUST_D1D1A6D
1045,9.66,2.93,2023-01-03 03:28:24,2023-01-03 03:29:24,2023-01-03 03:48:24,Park Slope (Brooklyn),Riverdale (Bronx),3,Completed,,DRV_0E3C83,CUST_6C0DCA1
1046,21.69,6.29,2023-02-04 07:33:01,2023-02-04 07:48:01,2023-02-04 08:25:01,Williamsburg (Brooklyn),Flushing (Queens),5,Completed,,DRV_3F2B30,CUST_789D295
1047,12.82,0.7,2023-02-22 20:22:36,2023-02-22 20:24:36,2023-02-22 20:32:36,Forest Hills (Queens),Financial District,5,Completed,,DRV_D01697,CUST_75A9446
1048,22.56,9.38,2023-01-17 08:55:45,2023-01-17 09:04:45,2023-01-17 09:50:45,LaGuardia Airport (LGA),The Bronx (Residential),5,Completed,,DRV_8616D6,CUST_FA77FC0
1049,11.58,3.58,2023-01-28 07:50:43,2023-01-28 08:03:43,2023-01-28 08:41:43,Harlem (Manhattan),Financial District,4,Completed,,DRV_19A79D,CUST_6AB5343
1050,45.01,22.94,2023-02-15 10:31:33,2023-02-15 10:41:33,2023-02-15 13:44:33,Staten Island (Residential),Riverdale (Bronx),4,Cancelled_by_Driver,Driver,DRV_1EA38C,CUST_B7DA4CA
1051,36.58,11.87,2023-03-05 04:18:18,2023-03-05 04:29:18,2023-03-05 05:30:18,Long Island City (Queens),Staten Island (Residential),4,Completed,,DRV_81546E,CUST_82E5926
1052,16.05,4.94,2023-02-17 16:31:30,2023-02-17 16:35:30,2023-02-17 16:52:30,Harlem (Manhattan),Bay Ridge (Brooklyn),4,Completed,,DRV_8002BD,CUST_5A0EAAA
1053,59.41,22.57,2023-03-14 18:31:12,2023-03-14 18:35:12,2023-03-14 20:35:12,Harlem (Manhattan),Financial District,5,Completed,,DRV_1E9CC7,CUST_37346CE
1054,15.66,4.44,2023-03-04 01:51:13,2023-03-04 01:55:13,2023-03-04 02:14:13,The Bronx (Residential),Forest Hills (Queens),4,Completed,,DRV_E2D722,CUST_84EC0EB
1055,16.49,6.05,2023-02-16 15:46:46,2023-02-16 16:01:46,2023-02-16 16:37:46,Forest Hills (Queens),SoHo,4,Completed,,DRV_3A5E34,CUST_59F8D1D
1056,18.34,9.02,2023-01-31 12:00:58,2023-01-31 12:12:58,2023-01-31 13:13:58,The Bronx (Residential),Financial District,4,Completed,,DRV_AAA10B,CUST_027301F
1057,16.03,6.2,2023-02-18 13:15:44,2023-02-18 13:25:44,2023-02-18 13:48:44,Financial District,Flushing (Queens),4,Completed,,DRV_EB964C,CUST_156EFC8
1058,15.52,4.14,2023-03-26 23:02:24,2023-03-26 23:17:24,2023-03-26 23:52:24,Upper East Side (Manhattan),Williamsburg (Brooklyn),5,Cancelled_by_Driver,Driver,DRV_E2D722,CUST_934B4DF
1059,30.92,11.94,2023-01-23 09:47:46,2023-01-23 09:56:46,2023-01-23 10:41:46,Williamsburg (Brooklyn),SoHo,5,Completed,,DRV_6D8CCF,CUST_FF89059
1060,10.22,4.72,2023-03-31 13:46:31,2023-03-31 13:58:31,2023-03-31 14:25:31,Bay Ridge (Brooklyn),Staten Island (Residential),5,Completed,,DRV_306914,CUST_1C9EA51
1061,17.86,7.31,2023-01-25 13:13:38,2023-01-25 13:18:38,2023-01-25 14:23:38,Forest Hills (Queens),The Bronx (Residential),5,Completed,,DRV_A4B908,CUST_38772D1
