Ride_ID,Fare,Distance_Miles,Ride_Request_Time,Pickup_Time,Dropoff_Time,Ride_Duration_Minutes,Source_Zone,Destination_Zone,Driver_Rating_by_Customer,Ride_Status,Cancelled_By,Driver_ID,Customer_ID
1001,14.75,6.46,2023-03-18 15:03:47,2023-03-18 15:12:47,2023-03-18 15:54:47,42.0,Williamsburg (Brooklyn),Staten Island (Residential),5,Completed,,DRV_5B5DE7,CUST_71F9E10
1002,23.27,11.06,2023-03-21 01:36:06,2023-03-21 01:42:06,2023-03-21 03:16:06,94.0,Greenwich Village,Long Island City (Queens),4,Completed,,DRV_8A3EDC,CUST_0C139F4
1003,21.33,8.88,2023-02-05 22:12:33,2023-02-05 22:26:33,2023-02-05 22:54:33,28.0,Forest Hills (Queens),Midtown Manhattan,3,Completed,,DRV_1555BD,CUST_E08051E
1004,23.24,3.79,2023-02-15 21:45:24,2023-02-15 21:58:24,2023-02-15 22:32:24,34.0,Midtown Manhattan,Long Island City (Queens),3,Completed,,DRV_69069E,CUST_4A3580F
1005,25.93,9.42,2023-02-06 18:13:30,2023-02-06 18:14:30,2023-02-06 18:53:30,39.0,Park Slope (Brooklyn),LaGuardia Airport (LGA),4,Completed,,DRV_E570F8,CUST_59E5CE9
1006,13.68,0.54,2023-01-07 12:05:47,2023-01-07 12:19:47,2023-01-07 12:24:47,5.0,Midtown Manhattan,Park Slope (Brooklyn),5,Completed,,DRV_B61963,CUST_03A7A85
1007,14.01,5.24,2023-02-17 16:17:03,2023-02-17 16:27:03,2023-02-17 16:51:03,24.0,Flushing (Queens),Long Island City (Queens),5,Completed,,DRV_91B05F,CUST_8C77EE7
1008,9.32,3.39,2023-03-18 00:01:42,2023-03-18 00:10:42,2023-03-18 00:31:42,21.0,The Bronx (Residential),Staten Island (Residential),4,Completed,,DRV_EABDC1,CUST_8AB53DE
1009,12.99,3.65,2023-02-10 04:11:34,2023-02-10 04:23:34,2023-02-10 04:55:34,32.0,Newark Liberty Airport (EWR),Harlem (Manhattan),4,Completed,,DRV_946F0D,CUST_191B4D4
1010,22.45,9.54,2023-03-06 05:45:22,2023-03-06 05:47:22,2023-03-06 06:22:22,35.0,Financial District,JFK Airport,4,Completed,,DRV_C25247,CUST_2323AFD
1011,31.89,10.22,2023-03-07 11:19:17,2023-03-07 11:25:17,2023-03-07 12:18:17,53.0,Long Island City (Queens),SoHo,5,Completed,,DRV_E9184A,CUST_0724D1D
1012,31.46,10.73,2023-03-03 00:41:59,2023-03-03 00:54:59,2023-03-03 01:44:59,50.0,Bay Ridge (Brooklyn),Greenwich Village,5,Completed,,DRV_570BF2,CUST_5E0E920
1013,18.98,6.1,2023-02-26 00:07:36,2023-02-26 00:11:36,2023-02-26 01:08:36,57.0,Flushing (Queens),Forest Hills (Queens),5,Completed,,DRV_06A74C,CUST_B648A6D
1014,10.48,3.58,2023-03-20 06:50:56,2023-03-20 06:58:56,2023-03-20 07:30:56,32.0,Long Island City (Queens),SoHo,5,Completed,,DRV_F5E2B3,CUST_EC457A8
